id,name,state_code,state,spider_prefix
2201051,Assunção do Piauí,PI,Piauí,pi_assuncao_do_piaui
3104601,Astolfo Dutra,MG,Minas Gerais,mg_astolfo_dutra
4102109,Astorga,PR,Paraná,pr_astorga
2700409,Atalaia,AL,Alagoas,al_atalaia
4102208,Atalaia,PR,Paraná,pr_atalaia
1300201,Atalaia do Norte,AM,Amazonas,am_atalaia_do_norte
4201802,Atalanta,SC,Santa Catarina,sc_atalanta
3104700,Ataléia,MG,Minas Gerais,mg_ataleia
3504107,Atibaia,SP,São Paulo,sp_atibaia
3200706,Atilio Vivacqua,ES,Espírito Santo,es_atilio_vivacqua
1702554,Augustinópolis,TO,Tocantins,to_augustinopolis
3104809,Augusto de Lima,MG,Minas Gerais,mg_augusto_de_lima
4301503,Augusto Pestana,RS,Rio Grande do Sul,rs_augusto_pestana
4301552,Áurea,RS,Rio Grande do Sul,rs_aurea
2902401,Aurelino Leal,BA,Bahia,ba_aurelino_leal
3504206,Auriflama,SP,São Paulo,sp_auriflama
5202601,Aurilândia,GO,Goiás,go_aurilandia
2301703,Aurora,CE,Ceará,ce_aurora
4201901,Aurora,SC,Santa Catarina,sc_aurora
1500958,Aurora do Pará,PA,Pará,pa_aurora_do_para
1702703,Aurora do Tocantins,TO,Tocantins,to_aurora_do_tocantins
1300300,Autazes,AM,Amazonas,am_autazes
3504305,Avaí,SP,São Paulo,sp_avai
3504404,Avanhandava,SP,São Paulo,sp_avanhandava
3504503,Avaré,SP,São Paulo,sp_avare
1501006,Aveiro,PA,Pará,pa_aveiro
2201101,Avelino Lopes,PI,Piauí,pi_avelino_lopes
5202809,Avelinópolis,GO,Goiás,go_avelinopolis
2101103,Axixá,MA,Maranhão,ma_axixa
1702901,Axixá do Tocantins,TO,Tocantins,to_axixa_do_tocantins
1703008,Babaçulândia,TO,Tocantins,to_babaculandia
2101202,Bacabal,MA,Maranhão,ma_bacabal
2101251,Bacabeira,MA,Maranhão,ma_bacabeira
2101301,Bacuri,MA,Maranhão,ma_bacuri
2101350,Bacurituba,MA,Maranhão,ma_bacurituba
3504602,Bady Bassitt,SP,São Paulo,sp_bady_bassitt
3104908,Baependi,MG,Minas Gerais,mg_baependi
4301602,Bagé,RS,Rio Grande do Sul,rs_bage
1501105,Bagre,PA,Pará,pa_bagre
2501401,Baía da Traição,PB,Paraíba,pb_baia_da_traicao
2401404,Baía Formosa,RN,Rio Grande do Norte,rn_baia_formosa
2902500,Baianópolis,BA,Bahia,ba_baianopolis
1501204,Baião,PA,Pará,pa_baiao
2902609,Baixa Grande,BA,Bahia,ba_baixa_grande
2201150,Baixa Grande do Ribeiro,PI,Piauí,pi_baixa_grande_do_ribeiro
2301802,Baixio,CE,Ceará,ce_baixio
3200805,Baixo Guandu,ES,Espírito Santo,es_baixo_guandu
3504701,Balbinos,SP,São Paulo,sp_balbinos
3105004,Baldim,MG,Minas Gerais,mg_baldim
5203104,Baliza,GO,Goiás,go_baliza
4201950,Balneário Arroio do Silva,SC,Santa Catarina,sc_balneario_arroio_do_silva
4202057,Balneário Barra do Sul,SC,Santa Catarina,sc_balneario_barra_do_sul
4202008,Balneário Camboriú,SC,Santa Catarina,sc_balneario_camboriu
