entity_id,acronym,name,federal_unity,scope,category,slug
4101309,,Antônio Olinto,PR,municipal,municipality,temp
4300802,,Antônio Prado,RS,municipal,municipality,temp
3103108,,Antônio Prado de Minas,MG,municipal,municipality,temp
2500775,,Aparecida,PB,municipal,municipality,temp
3502507,,Aparecida,SP,municipal,municipality,temp
3502606,,Aparecida d'Oeste,SP,municipal,municipality,temp
5201405,,Aparecida de Goiânia,GO,municipal,municipality,temp
5201454,,Aparecida do Rio Doce,GO,municipal,municipality,temp
1701101,,Aparecida do Rio Negro,TO,municipal,municipality,temp
5001003,,Aparecida do Taboado,MS,municipal,municipality,temp
3300159,,Aperibé,RJ,municipal,municipality,temp
3200508,,Apiacá,ES,municipal,municipality,temp
5100805,,Apiacás,MT,municipal,municipality,temp
3502705,,Apiaí,SP,municipal,municipality,temp
2100832,,Apicum-Açu,MA,municipal,municipality,temp
4201257,,Apiúna,SC,municipal,municipality,temp
2401008,,Apodi,RN,municipal,municipality,temp
2901908,,Aporá,BA,municipal,municipality,temp
5201504,,Aporé,GO,municipal,municipality,temp
2901957,,Apuarema,BA,municipal,municipality,temp
4101408,,Apucarana,PR,municipal,municipality,temp
1300144,,Apuí,AM,municipal,municipality,temp
2300903,,Apuiarés,CE,municipal,municipality,temp
2800209,,Aquidabã,SE,municipal,municipality,temp
5001102,,Aquidauana,MS,municipal,municipality,temp
2301000,,Aquiraz,CE,municipal,municipality,temp
4201273,,Arabutã,SC,municipal,municipality,temp
2500809,,Araçagi,PB,municipal,municipality,temp
3103207,,Araçaí,MG,municipal,municipality,temp
2800308,,Aracaju,SE,municipal,municipality,temp
3502754,,Araçariguama,SP,municipal,municipality,temp
2902054,,Araças,BA,municipal,municipality,temp
2301109,,Aracati,CE,municipal,municipality,temp
2902005,,Aracatu,BA,municipal,municipality,temp
3502804,,Araçatuba,SP,municipal,municipality,temp
2902104,,Araci,BA,municipal,municipality,temp
3103306,,Aracitaba,MG,municipal,municipality,temp
2301208,,Aracoiaba,CE,municipal,municipality,temp
2601052,,Araçoiaba,PE,municipal,municipality,temp
3502903,,Araçoiaba da Serra,SP,municipal,municipality,temp
3200607,,Aracruz,ES,municipal,municipality,temp
5201603,,Araçu,GO,municipal,municipality,temp
3103405,,Araçuaí,MG,municipal,municipality,temp
5201702,,Aragarças,GO,municipal,municipality,temp
5201801,,Aragoiânia,GO,municipal,municipality,temp
1701309,,Aragominas,TO,municipal,municipality,temp
1701903,,Araguacema,TO,municipal,municipality,temp
1702000,,Araguaçu,TO,municipal,municipality,temp
5101001,,Araguaiana,MT,municipal,municipality,temp
1702109,,Araguaína,TO,municipal,municipality,temp
