UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
31,Minas Gerais,12,Zona da Mata,063,Muriaé,45877,3145877,Orizânia
31,Minas Gerais,07,Metropolitana de Belo Horizonte,034,Conselheiro Lafaiete,45901,3145901,Ouro Branco
31,Minas Gerais,10,Sul/Sudoeste de Minas,051,Poços de Caldas,46008,3146008,Ouro Fino
31,Minas Gerais,07,Metropolitana de Belo Horizonte,033,Ouro Preto,46107,3146107,Ouro Preto
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,46206,3146206,Ouro Verde de Minas
31,Minas Gerais,02,Norte de Minas,008,Grão Mogol,46255,3146255,Padre Carvalho
31,Minas Gerais,03,Jequitinhonha,012,Araçuaí,46305,3146305,Padre Paraíso
31,Minas Gerais,02,Norte de Minas,004,Janaúba,46552,3146552,Pai Pedro
31,Minas Gerais,06,Central Mineira,024,Três Marias,46404,3146404,Paineiras
31,Minas Gerais,09,Oeste de Minas,044,Formiga,46503,3146503,Pains
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,46602,3146602,Paiva
31,Minas Gerais,12,Zona da Mata,066,Cataguases,46701,3146701,Palma
31,Minas Gerais,03,Jequitinhonha,014,Almenara,46750,3146750,Palmópolis
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,46909,3146909,Papagaios
31,Minas Gerais,07,Metropolitana de Belo Horizonte,029,Pará de Minas,47105,3147105,Pará de Minas
31,Minas Gerais,01,Noroeste de Minas,002,Paracatu,47006,3147006,Paracatu
31,Minas Gerais,10,Sul/Sudoeste de Minas,049,Alfenas,47204,3147204,Paraguaçu
31,Minas Gerais,10,Sul/Sudoeste de Minas,056,Itajubá,47303,3147303,Paraisópolis
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,47402,3147402,Paraopeba
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,47600,3147600,Passa Quatro
31,Minas Gerais,09,Oeste de Minas,046,Oliveira,47709,3147709,Passa Tempo
31,Minas Gerais,10,Sul/Sudoeste de Minas,055,Andrelândia,47808,3147808,Passa Vinte
31,Minas Gerais,07,Metropolitana de Belo Horizonte,028,Conceição do Mato Dentro,47501,3147501,Passabém
31,Minas Gerais,10,Sul/Sudoeste de Minas,047,Passos,47907,3147907,Passos
31,Minas Gerais,02,Norte de Minas,007,Montes Claros,47956,3147956,Patis
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,48004,3148004,Patos de Minas
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,48103,3148103,Patrocínio
31,Minas Gerais,12,Zona da Mata,063,Muriaé,48202,3148202,Patrocínio do Muriaé
31,Minas Gerais,12,Zona da Mata,062,Viçosa,48301,3148301,Paula Cândido
31,Minas Gerais,08,Vale do Rio Doce,035,Guanhães,48400,3148400,Paulistas
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,48509,3148509,Pavão
31,Minas Gerais,08,Vale do Rio Doce,036,Peçanha,48608,3148608,Peçanha
31,Minas Gerais,03,Jequitinhonha,013,Pedra Azul,48707,3148707,Pedra Azul
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,48756,3148756,Pedra Bonita
31,Minas Gerais,12,Zona da Mata,062,Viçosa,48806,3148806,Pedra do Anta
31,Minas Gerais,09,Oeste de Minas,044,Formiga,48905,3148905,Pedra do Indaiá
31,Minas Gerais,12,Zona da Mata,063,Muriaé,49002,3149002,Pedra Dourada
31,Minas Gerais,10,Sul/Sudoeste de Minas,053,Santa Rita do Sapucaí,49101,3149101,Pedralva
31,Minas Gerais,02,Norte de Minas,003,Januária,49150,3149150,Pedras de Maria da Cruz
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,023,Araxá,49200,3149200,Pedrinópolis
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,49309,3149309,Pedro Leopoldo
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,49408,3149408,Pedro Teixeira
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,49507,3149507,Pequeri
31,Minas Gerais,07,Metropolitana de Belo Horizonte,027,Sete Lagoas,49606,3149606,Pequi
31,Minas Gerais,09,Oeste de Minas,043,Divinópolis,49705,3149705,Perdigão
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,023,Araxá,49804,3149804,Perdizes
31,Minas Gerais,09,Oeste de Minas,045,Campo Belo,49903,3149903,Perdões
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,49952,3149952,Periquito
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,50000,3150000,Pescador
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,50109,3150109,Piau
31,Minas Gerais,08,Vale do Rio Doce,040,Caratinga,50158,3150158,Piedade de Caratinga
31,Minas Gerais,12,Zona da Mata,060,Ponte Nova,50208,3150208,Piedade de Ponte Nova
31,Minas Gerais,11,Campo das Vertentes,058,São João Del Rei,50307,3150307,Piedade do Rio Grande
31,Minas Gerais,07,Metropolitana de Belo Horizonte,032,Itaguara,50406,3150406,Piedade dos Gerais
31,Minas Gerais,09,Oeste de Minas,044,Formiga,50505,3150505,Pimenta
31,Minas Gerais,08,Vale do Rio Doce,040,Caratinga,50539,3150539,Pingo d'Água
